model,status,params_m,flops,latency_ms_per_image,fps,device,amp,batch_size,config,json_path,log_path
ann_r50-d8_4xb4-20k_forest-5band-matrix,ok,46.215539,0.185T,66.44610100000001,15.049792011121914,cuda,False,1,configs/paper_matrix/ann_r50-d8_4xb4-20k_forest-5band-matrix.py,work_dirs\ann_r50-d8_4xb4-20k_forest-5band-matrix\model_cost.json,work_dirs\ann_r50-d8_4xb4-20k_forest-5band-matrix\model_cost.log
cam_only_r50-d8_4xb4-20k_forest-5band-matrix,ok,37.687156,0.152T,55.676614,17.960862346981084,cuda,False,1,configs/paper_matrix/cam_only_r50-d8_4xb4-20k_forest-5band-matrix.py,work_dirs\cam_only_r50-d8_4xb4-20k_forest-5band-matrix\model_cost.json,work_dirs\cam_only_r50-d8_4xb4-20k_forest-5band-matrix\model_cost.log
ccnet_r50-d8_4xb4-20k_forest-5band-matrix,ok,49.81298,0.201T,73.79244399999999,13.551522971647342,cuda,False,1,configs/paper_matrix/ccnet_r50-d8_4xb4-20k_forest-5band-matrix.py,work_dirs\ccnet_r50-d8_4xb4-20k_forest-5band-matrix\model_cost.json,work_dirs\ccnet_r50-d8_4xb4-20k_forest-5band-matrix\model_cost.log
d0_danet_parallel_r50_5band,ok,49.816057,0.211T,73.54400250000002,13.597301833008066,cuda,False,1,configs/paper_double/d0_danet_parallel_r50_5band.py,work_dirs\d0_danet_parallel_r50_5band\model_cost.json,work_dirs\d0_danet_parallel_r50_5band\model_cost.log
d1_cam_to_pam_r50_5band,ok,40.375797,0.172T,63.95634650000001,15.635664867129329,cuda,False,1,configs/paper_double/d1_cam_to_pam_r50_5band.py,work_dirs\d1_cam_to_pam_r50_5band\model_cost.json,work_dirs\d1_cam_to_pam_r50_5band\model_cost.log
d2_pam_to_cam_r50_5band,ok,40.375797,0.172T,63.90169350000001,15.649037532941124,cuda,False,1,configs/paper_double/d2_pam_to_cam_r50_5band.py,work_dirs\d2_pam_to_cam_r50_5band\model_cost.json,work_dirs\d2_pam_to_cam_r50_5band\model_cost.log
d3_parallel_concat_r50_5band,ok,40.901109,0.175T,64.56920299999999,15.487259460210469,cuda,False,1,configs/paper_double/d3_parallel_concat_r50_5band.py,work_dirs\d3_parallel_concat_r50_5band\model_cost.json,work_dirs\d3_parallel_concat_r50_5band\model_cost.log
d4_parallel_residual_r50_5band,ok,40.901109,0.175T,64.7420065,15.445922269956213,cuda,False,1,configs/paper_double/d4_parallel_residual_r50_5band.py,work_dirs\d4_parallel_residual_r50_5band\model_cost.json,work_dirs\d4_parallel_residual_r50_5band\model_cost.log
d5_gated_fusion_r50_5band,ok,40.377847,0.172T,64.403362,15.527139716712304,cuda,False,1,configs/paper_double/d5_gated_fusion_r50_5band.py,work_dirs\d5_gated_fusion_r50_5band\model_cost.json,work_dirs\d5_gated_fusion_r50_5band\model_cost.log
danet_r50-d8_4xb4-20k_forest-5band-matrix,ok,49.816057,0.211T,73.39312000000001,13.625255337285019,cuda,False,1,configs/paper_matrix/danet_r50-d8_4xb4-20k_forest-5band-matrix.py,work_dirs\danet_r50-d8_4xb4-20k_forest-5band-matrix\model_cost.json,work_dirs\danet_r50-d8_4xb4-20k_forest-5band-matrix\model_cost.log
deeplabv3_r50-d8_4xb4-20k_forest-5band-matrix,ok,68.099955,0.27T,84.82644699999999,11.788776205609556,cuda,False,1,configs/paper_matrix/deeplabv3_r50-d8_4xb4-20k_forest-5band-matrix.py,work_dirs\deeplabv3_r50-d8_4xb4-20k_forest-5band-matrix\model_cost.json,work_dirs\deeplabv3_r50-d8_4xb4-20k_forest-5band-matrix\model_cost.log
dnl_r50-d8_4xb4-20k_forest-5band-matrix,ok,50.011252,0.209T,74.55673900000001,13.412603788907665,cuda,False,1,configs/paper_matrix/dnl_r50-d8_4xb4-20k_forest-5band-matrix.py,work_dirs\dnl_r50-d8_4xb4-20k_forest-5band-matrix\model_cost.json,work_dirs\dnl_r50-d8_4xb4-20k_forest-5band-matrix\model_cost.log
fcn_r50-d8_4xb4-20k_forest-5band-matrix,ok,49.484659,0.198T,67.4177845,14.832881374201788,cuda,False,1,configs/paper_matrix/fcn_r50-d8_4xb4-20k_forest-5band-matrix.py,work_dirs\fcn_r50-d8_4xb4-20k_forest-5band-matrix\model_cost.json,work_dirs\fcn_r50-d8_4xb4-20k_forest-5band-matrix\model_cost.log
gcnet_r50-d8_4xb4-20k_forest-5band-matrix,ok,49.61714,0.198T,67.8681005,14.734462768705308,cuda,False,1,configs/paper_matrix/gcnet_r50-d8_4xb4-20k_forest-5band-matrix.py,work_dirs\gcnet_r50-d8_4xb4-20k_forest-5band-matrix\model_cost.json,work_dirs\gcnet_r50-d8_4xb4-20k_forest-5band-matrix\model_cost.log
mask2former_swin_t_5band_forest,ok,47.401612,N/A (RuntimeError: NYI: Named tensors are not supported with the tracer),122.69842999999999,8.150063533820278,cuda,False,1,configs/paper_transformer/mask2former_swin_t_5band_forest.py,work_dirs\mask2former_swin_t_5band_forest\model_cost.json,work_dirs\mask2former_swin_t_5band_forest\model_cost.log
nonlocal_r50-d8_4xb4-20k_forest-5band-matrix,ok,50.010739,0.209T,73.210118,13.659314140157512,cuda,False,1,configs/paper_matrix/nonlocal_r50-d8_4xb4-20k_forest-5band-matrix.py,work_dirs\nonlocal_r50-d8_4xb4-20k_forest-5band-matrix\model_cost.json,work_dirs\nonlocal_r50-d8_4xb4-20k_forest-5band-matrix\model_cost.log
pam_only_r50-d8_4xb4-20k_forest-5band-matrix,ok,38.015476,0.161T,60.47776449999999,16.535002711616436,cuda,False,1,configs/paper_matrix/pam_only_r50-d8_4xb4-20k_forest-5band-matrix.py,work_dirs\pam_only_r50-d8_4xb4-20k_forest-5band-matrix\model_cost.json,work_dirs\pam_only_r50-d8_4xb4-20k_forest-5band-matrix\model_cost.log
swin_tiny_upernet_5band_forest,ok,59.827917,0.236T,99.45237650000001,10.05506389281708,cuda,False,1,configs/paper_transformer/swin_tiny_upernet_5band_forest.py,work_dirs\swin_tiny_upernet_5band_forest\model_cost.json,work_dirs\swin_tiny_upernet_5band_forest\model_cost.log
